pfam  PF00380.14.hmm
pfam  PF00410.14.hmm
pfam  PF00466.15.hmm
pfam  PF01025.14.hmm
pfam  PF02576.12.hmm
pfam  PF03726.9.hmm
tigrfam TIGR00006.HMM
tigrfam TIGR00019.HMM
tigrfam TIGR00020.HMM
tigrfam TIGR00029.HMM
tigrfam TIGR00043.HMM
tigrfam TIGR00054.HMM
tigrfam TIGR00059.HMM
tigrfam TIGR00061.HMM
tigrfam TIGR00064.HMM
tigrfam TIGR00065.HMM
tigrfam TIGR00082.HMM
tigrfam TIGR00083.HMM
tigrfam TIGR00084.HMM
tigrfam TIGR00086.HMM
tigrfam TIGR00088.HMM
tigrfam TIGR00090.HMM
tigrfam TIGR00092.HMM
tigrfam TIGR00095.HMM
tigrfam TIGR00115.HMM
tigrfam TIGR00116.HMM
tigrfam TIGR00138.HMM
tigrfam TIGR00158.HMM
tigrfam TIGR00166.HMM
tigrfam TIGR00168.HMM
tigrfam TIGR00186.HMM
tigrfam TIGR00194.HMM
tigrfam TIGR00250.HMM
tigrfam TIGR00337.HMM
tigrfam TIGR00344.HMM
tigrfam TIGR00362.HMM
tigrfam TIGR00382.HMM
tigrfam TIGR00392.HMM
tigrfam TIGR00396.HMM
tigrfam TIGR00398.HMM
tigrfam TIGR00414.HMM
tigrfam TIGR00416.HMM
tigrfam TIGR00420.HMM
tigrfam TIGR00431.HMM
tigrfam TIGR00435.HMM
tigrfam TIGR00436.HMM
tigrfam TIGR00442.HMM
tigrfam TIGR00445.HMM
tigrfam TIGR00456.HMM
tigrfam TIGR00459.HMM
tigrfam TIGR00460.HMM
tigrfam TIGR00468.HMM
tigrfam TIGR00472.HMM
tigrfam TIGR00487.HMM
tigrfam TIGR00496.HMM
tigrfam TIGR00539.HMM
tigrfam TIGR00580.HMM
tigrfam TIGR00593.HMM
tigrfam TIGR00615.HMM
tigrfam TIGR00631.HMM
tigrfam TIGR00634.HMM
tigrfam TIGR00635.HMM
tigrfam TIGR00643.HMM
tigrfam TIGR00663.HMM
tigrfam TIGR00717.HMM
tigrfam TIGR00755.HMM
tigrfam TIGR00810.HMM
tigrfam TIGR00922.HMM
tigrfam TIGR00928.HMM
tigrfam TIGR00959.HMM
tigrfam TIGR00963.HMM
tigrfam TIGR00964.HMM
tigrfam TIGR00967.HMM
tigrfam TIGR01009.HMM
tigrfam TIGR01011.HMM
tigrfam TIGR01017.HMM
tigrfam TIGR01021.HMM
tigrfam TIGR01029.HMM
tigrfam TIGR01032.HMM
tigrfam TIGR01039.HMM
tigrfam TIGR01044.HMM
tigrfam TIGR01059.HMM
tigrfam TIGR01063.HMM
tigrfam TIGR01066.HMM
tigrfam TIGR01071.HMM
tigrfam TIGR01079.HMM
tigrfam TIGR01082.HMM
tigrfam TIGR01087.HMM
tigrfam TIGR01128.HMM
tigrfam TIGR01146.HMM
tigrfam TIGR01164.HMM
tigrfam TIGR01169.HMM
tigrfam TIGR01171.HMM
tigrfam TIGR01302.HMM
tigrfam TIGR01391.HMM
tigrfam TIGR01393.HMM
tigrfam TIGR01394.HMM
tigrfam TIGR01510.HMM
tigrfam TIGR01632.HMM
tigrfam TIGR01951.HMM
tigrfam TIGR01953.HMM
tigrfam TIGR02012.HMM
tigrfam TIGR02013.HMM
tigrfam TIGR02027.HMM
tigrfam TIGR02075.HMM
tigrfam TIGR02191.HMM
tigrfam TIGR02273.HMM
tigrfam TIGR02350.HMM
tigrfam TIGR02386.HMM
tigrfam TIGR02397.HMM
tigrfam TIGR02432.HMM
tigrfam TIGR02729.HMM
tigrfam TIGR03263.HMM
tigrfam TIGR03594.HMM
tigrfam TIGR03625.HMM
tigrfam TIGR03632.HMM
tigrfam TIGR03654.HMM
tigrfam TIGR03723.HMM
tigrfam TIGR03725.HMM
tigrfam TIGR03953.HMM
